rank,ticker,company,sector,price,change_pct,volume,market_cap,pe,avg_sentiment,news_count,supplemental_news_count,positive_ratio,negative_ratio,message_density,rolling_news_count
1.0,NEOV,NeoVolta Inc,,2.78,31.13,17504193,157.37,,0.7374927774071693,83.0,8.0,1.0,0.0,low,1.0
2.0,CDT,CDT Equity Inc,,1.02,47.19,249471140,4.96,,0.724441553466022,80.0,9.0,1.0,0.0,medium,2.0
3.0,LNKS,Linkers Industries Ltd,,2.68,67.5,69879693,4.75,,0.5797581505030394,14.0,5.0,1.0,0.0,low,1.0
4.0,CAST,Freecast Inc,,8.07,56.7,113021411,333.63,,0.3326734618749469,9.0,13.0,0.75,0.0,high,4.0
5.0,MDCX,Medicus Pharma Ltd,,0.46,30.08,12185095,25.92,,0.2971647167578339,100.0,2.0,1.0,0.0,medium,2.0
6.0,BFLY,Butterfly Network Inc,,8.9,55.87,60481423,2325.3,,0.1079616032540797,100.0,10.0,0.4,0.0,high,5.0
7.0,ADTX,Aditxt Inc,,0.01,127.27,5383006389,0.01,,,100.0,5.0,,,low,0.0
8.0,APWC,Asia Pacific Wire & Cable Corp Ltd,,1.99,43.17,48089946,41.03,,,100.0,2.0,,,low,0.0
9.0,EXFY,Expensify Inc,,1.56,30.0,12528622,150.44,,,100.0,5.0,,,low,0.0
10.0,KALA,Kala Bio Inc,,3.61,26.89,959164,67.11,,,100.0,1.0,,,low,0.0
11.0,OM,Outset Medical Inc,,5.05,25.62,525986,93.51,,,100.0,9.0,,,low,0.0
12.0,ATPC,Agape ATP Corp,,3.88,42.12,72449876,3.88,,,27.0,2.0,,,low,0.0
13.0,HQ,Horizon Quantum Holdings Ltd,,32.0,35.54,8691692,1018.67,,,19.0,3.0,,,low,0.0
14.0,BESS,Bimergen Energy Corp,,5.82,37.91,2584625,41.31,,,14.0,2.0,,,low,0.0
15.0,BEX,Tradr 2X Long BE Daily ETF,,76.58,31.13,1054359,,,,6.0,0.0,,,low,0.0
16.0,LEUX,Tradr 2X Long LEU Daily ETF,,16.44,25.5,110661,,,,1.0,0.0,,,low,0.0
17.0,BEG,Leverage Shares 2x Long BE Daily ETF,,107.47,30.1,148091,,,,0.0,0.0,,,low,0.0
18.0,QSU,Defiance Daily Target 2X Long QS ETF,,15.35,33.25,708007,,,,0.0,0.0,,,low,0.0
19.0,SMUP,T-REX 2X Long SMR Daily Target ETF,,9.11,25.48,665899,,,,0.0,0.0,,,low,0.0
,WYFL,Defiance Daily Target 2X Long WYFI ETF,,32.93,30.0,105928,,,,,,,,,
