rank,ticker,avg_sentiment,news_count,supplemental_news_count,positive_ratio,negative_ratio,rolling_news_count,message_density
1,NEOV,0.7374927774071693,83,8,1.0,0.0,1,low
2,CDT,0.724441553466022,80,9,1.0,0.0,2,medium
3,LNKS,0.5797581505030394,14,5,1.0,0.0,1,low
4,CAST,0.3326734618749469,9,13,0.75,0.0,4,high
5,MDCX,0.2971647167578339,100,2,1.0,0.0,2,medium
6,BFLY,0.10796160325407977,100,10,0.4,0.0,5,high
7,ADTX,,100,5,,,0,low
8,APWC,,100,2,,,0,low
9,EXFY,,100,5,,,0,low
10,KALA,,100,1,,,0,low
11,OM,,100,9,,,0,low
12,ATPC,,27,2,,,0,low
13,HQ,,19,3,,,0,low
14,BESS,,14,2,,,0,low
15,BEX,,6,0,,,0,low
16,LEUX,,1,0,,,0,low
17,BEG,,0,0,,,0,low
18,QSU,,0,0,,,0,low
19,SMUP,,0,0,,,0,low
